Departamento,Municipio,Cantidad,Divipola
CUNDINAMARCA,GRANADA,6922,25312
CUNDINAMARCA,GUACHETA,12405,25317
CUNDINAMARCA,GUADUAS,27571,25320
CUNDINAMARCA,GUASCA,14992,25322
CUNDINAMARCA,GUATAQUI,1977,25324
CUNDINAMARCA,GUATAVITA,6148,25326
CUNDINAMARCA,GUAYABAL DE SIQUIMA,3604,25328
CUNDINAMARCA,GUAYABETAL,5809,25335
CUNDINAMARCA,GUTIERREZ,3311,25339
CUNDINAMARCA,JERUSALEN,2025,25368
CUNDINAMARCA,JUNIN,5234,25372
CUNDINAMARCA,LA CALERA,28501,25377
CUNDINAMARCA,LA MESA,29452,25386
CUNDINAMARCA,LA PALMA,7708,25394
CUNDINAMARCA,LA PEÑA,5429,25398
CUNDINAMARCA,LA VEGA,13085,25402
CUNDINAMARCA,LENGUAZAQUE,9425,25407
CUNDINAMARCA,MACHETA,6057,25426
CUNDINAMARCA,MADRID,109696,25430
CUNDINAMARCA,MANTA,3354,25436
CUNDINAMARCA,MEDINA,7281,25438
CUNDINAMARCA,MOSQUERA,128893,25473
CUNDINAMARCA,NARIÑO,2101,25483
CUNDINAMARCA,NEMOCON,12198,25486
CUNDINAMARCA,NILO,10555,25488
CUNDINAMARCA,NIMAIMA,3086,25489
CUNDINAMARCA,NOCAIMA,5211,25491
CUNDINAMARCA,VENECIA,4130,25506
CUNDINAMARCA,PACHO,23726,25513
CUNDINAMARCA,PAIME,3865,25518
CUNDINAMARCA,PANDI,4735,25524
CUNDINAMARCA,PARATEBUENO,8043,25530
CUNDINAMARCA,PASCA,8686,25535
CUNDINAMARCA,PUERTO SALGAR,15019,25572
CUNDINAMARCA,PULI,2525,25580
CUNDINAMARCA,QUEBRADANEGRA,4453,25592
CUNDINAMARCA,QUETAME,4929,25594
CUNDINAMARCA,QUIPILE,6114,25596
CUNDINAMARCA,APULO,7533,25599
CUNDINAMARCA,RICAURTE,10788,25612
CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA,10214,25645
CUNDINAMARCA,SAN BERNARDO,7417,25649
CUNDINAMARCA,SAN CAYETANO,4043,25653
CUNDINAMARCA,SAN FRANCISCO,9644,25658
CUNDINAMARCA,SAN JUAN DE RIO SECO,7547,25662
CUNDINAMARCA,SASAIMA,9807,25718
CUNDINAMARCA,SESQUILE,11067,25736
CUNDINAMARCA,SIBATE,32803,25740
CUNDINAMARCA,SILVANIA,20581,25743
CUNDINAMARCA,SIMIJACA,11526,25745
CUNDINAMARCA,SOACHA,645205,25754
CUNDINAMARCA,SOPO,24838,25758
CUNDINAMARCA,SUBACHOQUE,14874,25769
CUNDINAMARCA,SUESCA,15401,25772
CUNDINAMARCA,SUPATA,4726,25777
CUNDINAMARCA,SUSA,6073,25779
CUNDINAMARCA,SUTATAUSA,5258,25781
CUNDINAMARCA,TABIO,20602,25785
CUNDINAMARCA,TAUSA,6735,25793
CUNDINAMARCA,TENA,8072,25797
CUNDINAMARCA,TENJO,20386,25799
CUNDINAMARCA,TIBACUY,3944,25805
CUNDINAMARCA,TIBIRITA,2439,25807
CUNDINAMARCA,TOCAIMA,13649,25815
CUNDINAMARCA,TOCANCIPA,39416,25817
CUNDINAMARCA,TOPAIPI,3537,25823
CUNDINAMARCA,UBALA,7583,25839
CUNDINAMARCA,UBAQUE,6390,25841
CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE,40001,25843
CUNDINAMARCA,UNE,6902,25845
CUNDINAMARCA,UTICA,4032,25851
CUNDINAMARCA,VERGARA,6063,25862
CUNDINAMARCA,VIANI,3806,25867
CUNDINAMARCA,VILLAGOMEZ,1712,25871
CUNDINAMARCA,VILLAPINZON,15834,25873
CUNDINAMARCA,VILLETA,25957,25875
CUNDINAMARCA,VIOTA,12589,25878
CUNDINAMARCA,YACOPI,10887,25885
CUNDINAMARCA,ZIPACON,4211,25898
CUNDINAMARCA,ZIPAQUIRA,129652,25899
CHOCO,QUIBDO,120679,27001
CHOCO,ACANDI,12095,27006
CHOCO,ALTO BAUDO,23954,27025
CHOCO,ATRATO,5519,27050
CHOCO,BAGADO,10583,27073
CHOCO,BAHIA SOLANO,9417,27075
CHOCO,BAJO BAUDO,18561,27077
CHOCO,BOJAYA,11933,27099
CHOCO,EL CANTON DEL SAN PABLO,5663,27135
CHOCO,CARMEN DEL DARIEN,13189,27150
CHOCO,CERTEGUI,4683,27160
CHOCO,CONDOTO,12251,27205
CHOCO,EL CARMEN DE ATRATO,7900,27245
CHOCO,EL LITORAL DEL SAN JUAN,11579,27250
CHOCO,ISTMINA,28087,27361
CHOCO,JURADO,4108,27372
CHOCO,LLORO,8928,27413
CHOCO,MEDIO ATRATO,10140,27425
CHOCO,MEDIO BAUDO,13423,27430
CHOCO,MEDIO SAN JUAN,9073,27450
CHOCO,NOVITA,8164,27491
CHOCO,NUQUI,3456,27495
CHOCO,RIO IRO,4525,27580
CHOCO,RIO QUITO,7974,27600
CHOCO,RIOSUCIO,48257,27615
CHOCO,SAN JOSE DEL PALMAR,4721,27660
CHOCO,SIPI,2768,27745
CHOCO,TADO,17000,27787
CHOCO,UNGUIA,12192,27800
CHOCO,UNION PANAMERICANA,6590,27810
HUILA,NEIVA,314526,41001
HUILA,ACEVEDO,24562,41006
HUILA,AGRADO,8593,41013
HUILA,AIPE,14817,41016
HUILA,ALGECIRAS,20259,41020
HUILA,ALTAMIRA,4169,41026
HUILA,BARAYA,6679,41078
HUILA,CAMPOALEGRE,30183,41132
HUILA,COLOMBIA,7040,41206
HUILA,ELIAS,3736,41244
HUILA,GARZON,66311,41298
HUILA,GIGANTE,22871,41306
HUILA,GUADALUPE,15913,41319
HUILA,HOBO,6700,41349
HUILA,IQUIRA,9064,41357
HUILA,ISNOS,24593,41359
HUILA,LA ARGENTINA,12475,41378
HUILA,LA PLATA,54405,41396
HUILA,NATAGA,6168,41483
HUILA,OPORAPA,11111,41503
HUILA,PAICOL,6424,41518
HUILA,PALERMO,24243,41524
HUILA,PALESTINA,10454,41530
HUILA,PITAL,12246,41548
HUILA,PITALITO,120287,41551
HUILA,RIVERA,22877,41615
HUILA,SALADOBLANCO,10076,41660
HUILA,SAN AGUSTIN,32409,41668
HUILA,SANTA MARIA,10215,41676
